"source_file","format","dimensions","file_size_bytes","transparency","pages_used","display_dimensions","fold_context","decorative_or_meaningful","loading","candidate_output_formats","responsive_variants_required","referenced"
"assets/new-hair-franciele/franciele-sofiati-biomedica-cuidado-estetico-com-responsabilidade-londrina-092.webp","webp","1023x1537","60250","false","backups/pt/20260718-173409/pt/accessibility.html | backups/pt/20260719-080334/pt/care.html","1023x1537","below fold","meaningful","lazy","WebP | AVIF where measured smaller","320 | 480 | 640 | 768 | 960 | 1023","true"
"assets/services/editorial/tecnologia-de-plasma-2.jpg","jpeg","427x640","60175","false","blog/tecnologia-de-plasma-antes-de-decidir.html | en/blog/plasma-technology-why-assessment-and-aftercare-cannot-be-shortcuts.html | servicos/tecnologia-de-plasma.html","427x640","above fold candidate | below fold","meaningful","eager | lazy","AVIF | WebP | retain source fallback where needed","320 | 427","true"
"assets/new-hair-franciele/franciele-sofiati-biomedica-profissional-em-ambiente-clinico-londrina-051.webp","webp","1254x1254","58868","false","backups/pt/20260718-174502/pt/consultation.html | backups/pt/20260719-102711/pt/index.html","1254x1254","below fold","meaningful","lazy","WebP | AVIF where measured smaller","320 | 480 | 640 | 768 | 960 | 1254","true"
"assets/journal/articles/barreira-hidratante-peeling-quimico-autocuidado-artigo-estetica-avancada-gleba-palhano.webp","webp","1600x900","58660","false","blog.html | en/blog/consultation-first.html | en/blog/hair-thinning.html | en/blog/skin-barrier.html | en/blog/skin-cleansing.html | en/blog/uneven-tone.html | en/blog.html | css/site.css","1600x900 | CSS-dependent","below fold | above fold candidate | CSS-dependent","meaningful | decorative unless surrounding content establishes meaning","lazy | eager | CSS resource discovery","WebP | AVIF where measured smaller","320 | 480 | 640 | 768 | 960 | 1280 | 1600","true"
"assets/hero/responsive/peeling-quimico-acolhimento-clinico-estetica-avancada-imagem-destaque-franciele-sofiati-londrina-centro.webp","webp","960x1440","58642","true","","","","","","WebP | AVIF where measured smaller","320 | 480 | 640 | 768 | 960","false"
"assets/pages/mission/testimonials/missao-vasinhos-faciais-rosto-natural-missao-couro-pagina-franciele-sofiati-gleba-palhano.webp","webp","1122x1402","58626","false","en/mission.html | missao.html","52x52","below fold","decorative","lazy","WebP | AVIF where measured smaller","320 | 480 | 640","true"
"assets/services/editorial/microagulhamento-3.jpg","jpeg","424x640","58448","false","blog/microagulhamento-e-manchas.html | blog/microagulhamento-o-que-avaliar.html | blog.html | en/blog/a-considered-guide-to-technology-and-care.html | en/blog/microneedling-and-pigmentation-why-risk-changes-the-indication.html | en/blog.html | servicos/microagulhamento.html","424x640","above fold candidate | below fold","meaningful","eager | lazy","AVIF | WebP | retain source fallback where needed","320 | 424","true"
"assets/pages/mission/testimonials/missao-bioestimulador-colageno-consulta-presencial-missao-preenchimento-pagina-franciele-sofiati-gleba-palhano.webp","webp","1122x1402","58356","false","en/mission.html | missao.html","52x52","below fold","decorative","lazy","WebP | AVIF where measured smaller","320 | 480 | 640","true"
"assets/services/editorial/peim-tratamento-estetico-para-microvasos-3.jpg","jpeg","640x564","58291","false","blog/microvasos-queixas-e-avaliacao.html | en/blog/visible-small-vessels-appearance-symptoms-and-assessment-are-not-the-same.html | servicos/peim-tratamento-estetico-para-microvasos.html","640x564","above fold candidate | below fold","meaningful","eager | lazy","AVIF | WebP | retain source fallback where needed","320 | 480 | 640","true"
"assets/services/editorial/peim-tratamento-estetico-para-microvasos-2.jpg","jpeg","640x427","57194","false","blog.html | en/blog.html | servicos/peim-tratamento-estetico-para-microvasos.html","640x427","below fold","meaningful","lazy","AVIF | WebP | retain source fallback where needed","320 | 480 | 640","true"
"assets/shared/brand/logotipo-franciele-sofiati-biomedica-esteta-estetica-avancada-gleba-palhano.png","png","900x396","57000","true","css/site.css","CSS-dependent","CSS-dependent","decorative unless surrounding content establishes meaning","CSS resource discovery","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 900","true"
"assets/services/editorial/mesoterapia-capilar-1.jpg","jpeg","640x427","56312","false","blog/queda-capilar-quando-investigar.html | blog.html | en/blog/a-considered-guide-to-aesthetic-care.html | en/blog.html | servicos/mesoterapia-capilar.html","640x427","above fold candidate | below fold","meaningful","eager | lazy","AVIF | WebP | retain source fallback where needed","320 | 480 | 640","true"
"assets/new-hair-franciele/franciele-sofiati-biomedica-consulta-estetica-humanizada-londrina-062.webp","webp","1693x929","55520","false","backups/pt/20260718-081424/pt/values.html | backups/pt/20260719-080106/pt/journal.html","1693x929","below fold","meaningful","lazy","WebP | AVIF where measured smaller","320 | 480 | 640 | 768 | 960 | 1280 | 1600 | 1693","true"
"assets/new-hair-franciele/franciele-sofiati-biomedica-orientacao-profissional-para-a-pele-londrina-038.webp","webp","1537x1023","55332","false","backups/pt/20260718-173409/pt/testimonials.html | backups/pt/20260719-080334/pt/values.html","1537x1023","below fold","meaningful","lazy","WebP | AVIF where measured smaller","320 | 480 | 640 | 768 | 960 | 1280 | 1537","true"
"assets/new-hair-franciele/franciele-sofiati-biomedica-biomedica-em-consulta-estetica-londrina-080.webp","webp","1254x1254","55054","false","backups/pt/20260718-081238/pt/about.html | backups/pt/20260719-075053/pt/mission.html","1254x1254","below fold","meaningful","lazy","WebP | AVIF where measured smaller","320 | 480 | 640 | 768 | 960 | 1254","true"
"assets/new-hair-franciele/franciele-sofiati-biomedica-consulta-com-escuta-e-planejamento-londrina-010.webp","webp","1254x1254","54924","false","backups/pt/20260718-081238/pt/contact.html | backups/pt/20260719-075053/pt/testimonials.html","1254x1254","below fold","meaningful","lazy","WebP | AVIF where measured smaller","320 | 480 | 640 | 768 | 960 | 1254","true"
"assets/services/editorial/peeling-de-diamante-3.jpg","jpeg","640x425","54778","false","servicos/peeling-de-diamante.html","640x425","below fold","meaningful","lazy","AVIF | WebP | retain source fallback where needed","320 | 480 | 640","true"
"assets/new-hair-franciele/franciele-sofiati-biomedica-atendimento-profissional-em-londrina-londrina-085.webp","webp","1537x1023","54684","false","backups/pt/20260718-074849/pt/index.html | backups/pt/20260719-075053/pt/accessibility.html","1537x1023","below fold","meaningful","lazy","WebP | AVIF where measured smaller","320 | 480 | 640 | 768 | 960 | 1280 | 1537","true"
"assets/new-hair-franciele/franciele-sofiati-biomedica-planejamento-estetico-em-londrina-londrina-074.webp","webp","1023x1537","54638","false","backups/pt/20260718-174301/pt/index.html | backups/pt/20260719-093151/pt/mission.html","1023x1537","below fold","meaningful","lazy","WebP | AVIF where measured smaller","320 | 480 | 640 | 768 | 960 | 1023","true"
"assets/services/editorial/protocolo-profissional-de-despigmentacao-2.jpg","jpeg","640x427","54603","false","blog/mancha-pos-inflamatoria-o-que-muda.html | blog/melasma-manchas-e-fotoprotecao.html | blog.html | en/blog/a-considered-guide-to-pigmentation.html | en/blog/post-inflammatory-pigmentation-why-the-cause-belongs-in-the-plan.html | en/blog.html | servicos/protocolo-profissional-de-despigmentacao.html","640x427","above fold candidate | below fold","meaningful","eager | lazy","AVIF | WebP | retain source fallback where needed","320 | 480 | 640","true"
"assets/new-hair-franciele/franciele-sofiati-biomedica-consulta-de-cuidado-personalizado-londrina-077.webp","webp","1537x1023","54306","false","backups/pt/20260718-081238/pt/thank-you.html | backups/pt/20260719-080106/pt/consultation.html","1537x1023","below fold","meaningful","lazy","WebP | AVIF where measured smaller","320 | 480 | 640 | 768 | 960 | 1280 | 1537","true"
"assets/services/editorial/ultraformer-mpt-1.jpg","jpeg","640x424","54260","false","blog/ultraformer-mpt-e-objetivos.html | blog.html | en/blog/ultraformer-mpt-clear-goals-before-talking-about-lifting.html | en/blog.html | servicos/ultraformer-mpt.html","640x424","above fold candidate | below fold","meaningful","eager | lazy","AVIF | WebP | retain source fallback where needed","320 | 480 | 640","true"
"assets/services/editorial/toxina-botulinica-platisma-e-terco-inferior-1.jpg","jpeg","640x427","54184","false","blog/terco-inferior-da-face-conversa-cuidadosa.html | blog.html | en/blog/the-lower-face-a-careful-conversation-about-movement-and-contour.html | en/blog.html | servicos/toxina-botulinica-platisma-e-terco-inferior.html","640x427","above fold candidate | below fold","meaningful","eager | lazy","AVIF | WebP | retain source fallback where needed","320 | 480 | 640","true"
"assets/services/editorial/radiofrequencia-2.jpg","jpeg","640x427","54050","false","blog.html | en/blog.html | servicos/radiofrequencia.html","640x427","below fold","meaningful","lazy","AVIF | WebP | retain source fallback where needed","320 | 480 | 640","true"
"assets/new-hair-franciele/franciele-sofiati-biomedica-retrato-editorial-da-biomedica-londrina-069.webp","webp","1023x1537","53538","false","backups/pt/20260718-174502/pt/mission.html | backups/pt/20260719-102711/pt/thank-you.html","1023x1537","below fold","meaningful","lazy","WebP | AVIF where measured smaller","320 | 480 | 640 | 768 | 960 | 1023","true"
"assets/new-hair-franciele/franciele-sofiati-biomedica-presenca-acolhedora-na-clinica-londrina-019.webp","webp","1023x1537","53066","false","backups/pt/20260718-174301/pt/legal.html | backups/pt/20260719-093151/pt/results.html","1023x1537","below fold","meaningful","lazy","WebP | AVIF where measured smaller","320 | 480 | 640 | 768 | 960 | 1023","true"
"assets/new-hair-franciele/franciele-sofiati-biomedica-avaliacao-estetica-responsavel-londrina-084.webp","webp","1023x1537","53020","false","backups/pt/20260718-074849/pt/results.html | backups/pt/20260719-075053/pt/cookies.html | index.html","1023x1537 | 720x900","below fold","meaningful","lazy","WebP | AVIF where measured smaller","320 | 480 | 640 | 768 | 960 | 1023","true"
"assets/new-hair-franciele/franciele-sofiati-biomedica-planejamento-estetico-em-londrina-londrina-034.webp","webp","1023x1537","52938","false","backups/pt/20260718-174301/pt/cookies.html | backups/pt/20260719-093151/pt/journal.html","1023x1537","below fold","meaningful","lazy","WebP | AVIF where measured smaller","320 | 480 | 640 | 768 | 960 | 1023","true"
"assets/new-hair-franciele/franciele-sofiati-biomedica-retrato-profissional-no-consultorio-londrina-021.webp","webp","1537x1023","52786","false","backups/pt/20260718-175108/pt/contact.html | backups/pt/20260719-103111/pt/legal.html | index.html","1537x1023 | 1672x941","below fold","meaningful","lazy","WebP | AVIF where measured smaller","320 | 480 | 640 | 768 | 960 | 1280 | 1537","true"
"assets/new-hair-franciele/franciele-sofiati-biomedica-biomedica-em-consulta-estetica-londrina-100.webp","webp","1023x1537","52716","false","backups/pt/20260718-081238/pt/care.html | backups/pt/20260719-075053/pt/privacy.html","1023x1537","below fold","meaningful","lazy","WebP | AVIF where measured smaller","320 | 480 | 640 | 768 | 960 | 1023","true"
"assets/new-hair-franciele/franciele-sofiati-biomedica-avaliacao-estetica-responsavel-londrina-024.webp","webp","1023x1537","52410","false","backups/pt/20260718-074849/pt/legal.html | backups/pt/20260719-075053/pt/care.html | index.html","1023x1537 | 720x900","below fold","meaningful","lazy","WebP | AVIF where measured smaller","320 | 480 | 640 | 768 | 960 | 1023","true"
"assets/home/inicio-peeling-vasinhos-faciais-planejamento-individual-asset-estetica-londrina-centro.webp","webp","720x900","52388","true","","","","","","WebP | AVIF where measured smaller","320 | 480 | 640 | 720","false"
